page_number,extracted_urls
4,/-/es/Tablet-Android-10-0-ultrarr%C3%A1pida-Tablets-8000mAh/dp/B08DK9X3R1
4,/-/es/Chromebook-giratorio-procesador-almacenamiento-14-db0020nr/dp/B07M8QVNKG
4,/-/es/Pantalla-procesador-duraci%C3%B3n-Bluetooth-NP930QCG-K01US/dp/B085D2HHBT
4,/-/es/pantalla-Intel-Pentium-Windows-Scarlet/dp/B08KG2R1GK
4,/-/es/MatrixPad-S30-Octa-Core-almacenamiento-Bluetooth/dp/B083BRVG28
4,/-/es/Chromebook-3120-Dell-renovada-Negro/dp/B0742HZW9B
4,/-/es/Pantalla-Retina-espacio-Refurbished-Certificado/dp/B00X8XB6SG
4,/-/es/Android-pulgadas-procesador-pantalla-Bluetooth/dp/B07WV9SSYQ
5,/-/es/Razer-Blade-Base-Gaming-Laptop/dp/B08SJDNLV8
5,/-/es/EliteDesk-Business-Quad-Core-i5-6500T-multiling%C3%BCe/dp/B07J2SPR49
5,/-/es/sobremesa-pulgadas-procesador-Windows-22-dd0010/dp/B0849P8D69
5,/-/es/Fusion5-14-1inch-A90B-Windows-Laptop/dp/B08GSRRKSR
5,/-/es/Premium-Computer-Quad-Core-802-11ac-Bluetooth/dp/B082NZX92C
5,/-/es/Pavilion-i5-1035G1-pulgadas-pantalla-port%C3%A1til/dp/B087SD98F4
5,/-/es/escritorio-HP-Pro-procesador-Multi-idiomas/dp/B07L7P3XYW
5,/-/es/ASUS-ROG-Zephyrus-i7-10750H-retroiluminaci%C3%B3n/dp/B08DDGJQDW
5,/-/es/Tableta-K10-pulgadas-procesador-pantalla/dp/B082B46ZFK
5,/-/es/i7-10510U-innovador-ScreenPad-Celestial-UX481FA-DB71T/dp/B086P6THG6
5,/-/es/MatrixPad-almacenamiento-procesador-Bluetooth-actualizaci%C3%B3n/dp/B08BLGFZBS
5,/-/es/2020-K105-Tablet-MEIZE/dp/B08HM4BJZJ
5,/-/es/Y10-almacenamiento-procesador-Bluetooth-certificaci%C3%B3n/dp/B08CGSML8W
5,/-/es/GE66-Raider-10UH-210-i7-10870H-RTX3080/dp/B08R9GGMBS
5,/-/es/iBUYPOWER-Trace-Computadora-gamer-escritorio/dp/B07V34QQ3C
5,/-/es/Flagship-11A-NB0013DX-Pantalla-Chromebook-procesador/dp/B08D3X9RF6
5,/-/es/MatrixPad-pulgadas-Android-almacenamiento-Quad-Core/dp/B0821B76WY
5,/-/es/Pavilion-Micro-EDGE-i5-9300H-GeForce-15-dk0020nr/dp/B07SC6HG74
5,/-/es/Tableta-aprendizaje-amigable-tabletas-parental/dp/B07Y5WDMBB
5,/-/es/Tronpad-TK701/dp/B08HD5Z4VD
5,/-/es/Windows-Fusion5-FWIN232-Ultra-Tablet/dp/B07HY8X46F
5,/-/es/Razer-Blade-15-i7-10750H-GeForce/dp/B086MGY9TZ
5,/-/es/Ordenador-sobremesa-7020-Quad-Core-i7-4770-3/dp/B07TWJCW6H
5,/-/es/Pantalla-tel%C3%A9fono-desbloqueado-SM-T515-internacional/dp/B07TV96YB6
6,/-/es/Lenovo-Ideapad-Display-Bluetooth-AllyFlex/dp/B08NCWZZGV
6,/-/es/DELL/dp/B08MKXTMK5
6,/-/es/Creator-A10SFS-287-Professional-i7-10875H-Win10PRO/dp/B08DHY3VF6
6,/-/es/GIGABYTE-AORUS-antirreflejos-i7-10870H-XC-8US2430SH/dp/B08V8BXZ6D
6,/-/es/convertible-generaci%C3%B3n-retroiluminado-recargable-SP513-54N-74V2/dp/B086KJCJDM
6,/-/es/MatrixPad-S10-almacenamiento-procesador-preinstalado/dp/B08CX793F5
6,/-/es/IdeaCentre-Ordenador-Todo-en-Uno-integrados-F0EW005TUS/dp/B089N4K38B
6,/-/es/Lenovo-IdeaPad-port%C3%A1til-memoria-GeForce/dp/B08N5TQD6M
6,/-/es/Skytech-Chronos-Gaming-PC-Desktop/dp/B08M6F6NN3
6,/-/es/Samsung-Galaxy-tarjeta-memoria-microSD/dp/B08NMW6V9Q
6,/-/es/Dell-Computadora-Port%C3%A1til-t%C3%A1ctil-XPS/dp/B08LKTW8WP
6,/-/es/port%C3%A1til-retroiluminada-procesador-reuniones-Bluetooth/dp/B08X1D9WWJ
6,/-/es/yoga-14/dp/B08LGP41CW
6,/-/es/Apple-iPad-WiFi-espacial-modelo/dp/B074PXS24F
6,/-/es/procesador-Celeron-Bluetooth-Microsoft-accesorios/dp/B08QXJM323
